100000000000000000039,80635707401894747894,31614069099331127513,17179869184
1000000000000000000117,51546435219887079991,144666470127730980460,34359738368
10000000000000000000009,9992566338662824267458,3694769590833803032125,137438953472
100000000000000000000117,24163028207499560363686,64911014007772963770218,549755813888
1000000000000000000000007,38923582678463553756710,843367907077058108520461,1099511627776
10000000000000000000000013,5863342488035851054212447,9636258147581954669181726,4398046511104
100000000000000000000000067,78462973492772865017160395,27732450411057582323409556,17592186044416
1000000000000000000000000103,312974950995669069013171476,172593690963274141822396662,47457808262928
10000000000000000000000000331,5031886505302109097801972542,7590928722467341482534178255,194302826514512
100000000000000000000000000319,31468179295053009742907022163,23123902402618461989178154439,817737156034785
1000000000000000000000000000057,591125717966793476109128213529,197460379572716956878681609455,1173640639212828
10000000000000000000000000000033,4690496079817252168145416687138,8220783064519615672372426718373,5240076766482500
100000000000000000000000000000049,18309249303903019832153244036329,85322474575401452391277964228530,13614910363181120
1000000000000000000000000000000061,648192400153952751799649675566254,429346140800532487176183128471515,60036892806592588
10000000000000000000000000000000193,2594753449944574831102996807476719,6733173628454929111267082029383756,169943089227918080
100000000000000000000000000000000069,93977100671481669191332747972651177,52101934975675178822779890741815362,382471270587522580
1000000000000000000000000000000000067,353080590237600292016249222126744754,473830482386688141513982236889280987,1182690518354585184
10000000000000000000000000000000000043,2717297970637349065380416672384095184,4511737206111955351917332049377553718,3739337326854726564
100000000000000000000000000000000000133,70845294891976403444554278469676530455,87917117948218547290408848541807294166,12239686139389993376
1000000000000000000000000000000000000003,122886961756874115892864204812888757733,840437353385309934285823630402884859950,35709281381466792384
10000000000000000000000000000000000000121,159417335712131629150530624126527065617,6380001157648721637516633150027366007494,105540040423836213192
100000000000000000000000000000000000000109,39435640101422654764599095494847602099232,36831500717974458616819433974636974324447,363491440182266265472
1000000000000000000000000000000000000000063,343943387892846314235425590464547215426859,280823505882550748075957411703530911632701,1131366670427546681976
10000000000000000000000000000000000000000057,4489380030712735248598126581411880758875345,9165735316113841775721569461780378543380092,9853418716696366234445
